Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1998-12-22,5.748186077012998,5.767449905476762,5.717364703945904,5.736628532409668,30400,0.0,0.0,0.0
1998-12-23,5.755892923631166,5.856062412261963,5.748187578351874,5.856062412261963,135600,0.0,0.0,0.0
1998-12-24,5.871474122244214,5.871474122244214,5.817536695924385,5.825242042541504,24600,0.0,0.0,0.0
1998-12-28,5.856064938484354,5.856064938484354,5.755895406641859,5.794422149658203,27000,0.0,0.0,0.0
1998-12-29,5.809830650107135,5.852210521697998,5.755893230278555,5.852210521697998,44000,0.0,0.0,0.0
1998-12-30,5.848357726545895,5.848357726545895,5.75974671613766,5.763598918914795,43600,0.0,0.0,0.0
1998-12-31,5.755889415740967,5.755889415740967,5.725068053407682,5.755889415740967,26000,0.0,0.0,0.0
1999-01-04,5.740480946899459,5.856061100192737,5.740480946899459,5.752039432525635,57200,0.0,0.0,0.0
1999-01-05,5.7867130596152725,5.7867130596152725,5.713512765509535,5.721218109130859,85400,0.0,0.0,0.0
1999-01-06,5.786715256344075,5.917706147632822,5.74818852361209,5.910000801086426,112800,0.0,0.0,0.0
1999-01-07,5.9099981683459,5.91385131019966,5.813681849719221,5.883029937744141,145200,0.0,0.0,0.0
1999-01-08,5.917706147632822,6.056402385467967,5.763599216704884,5.910000801086426,842200,0.0,0.0,0.0
1999-01-11,5.856061745592349,5.863767089994445,5.779008301571397,5.798272132873535,70000,0.0,0.0,0.0
1999-01-12,5.794420291215945,5.8175363296117535,5.701956137632712,5.709661483764648,178400,0.0,0.0,0.0
1999-01-13,5.609492983883374,5.717367848958054,5.5940822888727055,5.624903678894043,84800,0.0,0.0,0.0
1999-01-14,5.609489584768284,5.640310956113165,5.517025470733643,5.517025470733643,140000,0.0,0.0,0.0
1999-01-15,5.563257041626816,5.609489094604324,5.536288814353366,5.601783752441406,21400,0.0,0.0,0.0
1999-01-19,5.6248997789301605,5.6248997789301605,5.555551699463898,5.601783752441406,25600,0.0,0.0,0.0
1999-01-20,5.570964603582798,5.624902020214996,5.55170171079682,5.555553913116455,31600,0.0,0.0,0.0
1999-01-21,5.555551699463898,5.648015805418914,5.54784635730098,5.601783752441406,47800,0.0,0.0,0.0
1999-01-22,5.609490580578563,5.624901268986745,5.563258515354014,5.5709638595581055,38600,0.0,0.0,0.0
1999-01-25,5.594080025469498,5.594080025469498,5.517026581592507,5.563258647918701,36400,0.0,0.0,0.0
1999-01-26,5.570963485424335,5.570963485424335,5.463088673811693,5.5093207359313965,51400,0.0,0.0,0.0
1999-01-27,5.517028316812977,5.517028316812977,5.393742767833916,5.409153461456299,74200,0.0,0.0,0.0
1999-01-28,5.424561333861256,5.424561333861256,5.332097220215893,5.378329277038574,61600,0.0,0.0,0.0
1999-01-29,5.347507905823453,5.378329277038574,5.285865163393212,5.378329277038574,37200,0.0,0.0,0.0
1999-02-01,5.378330686157933,5.393741375803085,5.324393272399902,5.324393272399902,46200,0.0,0.0,0.0
1999-02-02,5.3321003913879395,5.3783324757063316,5.308984349228743,5.3321003913879395,53000,0.0,0.0,0.0
1999-02-03,5.362920583304712,5.4862061139553955,5.362920583304712,5.455384731292725,58800,0.0,0.0,0.0
1999-02-04,5.455384198199497,5.5016162676757645,5.439973508374075,5.486205577850342,52000,0.0,0.0,0.0
1999-02-05,5.501615528200493,5.655722405741124,5.470794152692368,5.6403117179870605,132000,0.0,0.0,0.0
1999-02-08,5.663426912055825,5.717364311218262,5.6557215693183345,5.717364311218262,62200,0.0,0.0,0.0
1999-02-09,5.725069093835223,5.725069093835223,5.6094889640808105,5.6094889640808105,128600,0.0,0.0,0.0
1999-02-10,5.632609026399377,5.686546458936717,5.5940822888727055,5.624903678894043,138600,0.0,0.0,0.0
1999-02-11,5.6017879761385,5.6017879761385,5.493913104520977,5.578671932220459,433600,0.0,0.0,0.0
1999-02-12,5.517027842813554,5.578670612007001,5.463090419769287,5.463090419769287,484600,0.0,0.0,0.0
1999-02-16,5.505469524619292,5.532437762076205,5.370625515553084,5.424562931060791,73200,0.0,0.0,0.0
1999-02-17,5.393742967712314,5.447680397389438,5.362921579325387,5.370626926422119,83400,0.0,0.0,0.0
1999-02-18,5.362918935620222,5.416856338708356,5.308981532532087,5.386034965515137,166000,0.0,0.0,0.0
1999-02-19,5.409149600790559,5.416854942102226,5.308980163738882,5.355212211608887,260600,0.0,0.0,0.0
1999-02-22,5.393742767833916,5.424564155078682,5.347510686966769,5.409153461456299,159000,0.0,0.0,0.0
1999-02-23,5.424562081523325,5.447678113120726,5.362919330596924,5.362919330596924,619200,0.0,0.0,0.0
