Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-06-25,334.419865157124,337.638409765333,328.90867439526005,333.5380859375,49545,0.0,0.0,0.0
2001-06-26,335.96300161943475,343.4141468645962,333.3176236539274,342.5764465332031,53130,0.0,0.0,0.0
2001-06-27,335.9760891053735,337.29882961366235,324.7768955541229,325.3941650390625,210285,0.02,0.0,0.0
2001-06-28,315.2531704911604,317.8986516985923,306.0821676265018,309.52130126953125,150120,0.0,0.0,0.0
2001-06-29,309.30040663224645,319.57369246873753,305.24400911406764,309.7413330078125,129990,0.0,0.0,0.0
2001-07-02,306.43476573953365,312.6516395475501,297.6605933165062,298.2778625488281,98385,0.0,0.0,0.0
2001-07-03,302.9074567828262,304.7152041214142,300.2619768109238,301.584716796875,68520,0.0,0.0,0.0
2001-07-05,302.24601642550465,308.5951709166384,301.89329122694323,303.5687561035156,117795,0.0,0.0,0.0
2001-07-06,304.62720346507695,304.9799289549438,296.33803335267277,304.2303771972656,40410,0.0,0.0,0.0
2001-07-09,301.1437871354078,301.452411640662,290.38550543129395,293.64825439453125,151005,0.0,0.0,0.0
2001-07-10,295.4118723781991,298.277815246582,289.19499955608256,291.00274658203125,173370,0.0,0.0,0.0
2001-07-11,281.96409102456465,287.4754943847656,274.07173137984097,287.4754943847656,223020,0.0,0.0,0.0
2001-07-12,283.50722795720924,288.7981872359342,269.88302396121884,271.6025695800781,228330,0.0,0.0,0.0
2001-07-13,269.1774146048274,281.74343641684635,266.75239957942995,276.6729431152344,106215,0.0,0.0,0.0
2001-07-16,279.3623794647838,281.0819436271808,254.40670930809918,256.8758239746094,181635,0.0,0.0,0.0
2001-07-17,259.25696043241913,263.6220051294418,255.42102368305635,262.60791015625,105900,0.0,0.0,0.0
2001-07-18,258.0223706909994,264.9887929884883,249.77728951059814,262.78424072265625,306900,0.0,0.0,0.0
2001-07-19,262.1230557174938,268.86901946874303,260.5798518972344,267.63446044921875,125205,0.0,0.0,0.0
2001-07-20,274.6887803560976,282.6252136230469,271.9551213541524,282.6252136230469,139260,0.0,0.0,0.0
2001-07-23,286.5497304746633,288.18111608881156,280.06830897804116,285.22698974609375,186600,0.0,0.0,0.0
2001-07-24,284.60943924194373,284.60943924194373,274.90933668438873,275.61480712890625,126390,0.0,0.0,0.0
2001-07-25,279.9797972679318,289.106689453125,273.58654450078683,289.106689453125,142155,0.0,0.0,0.0
2001-07-26,292.32548633922227,293.33958143749356,283.3749526978047,291.00274658203125,123330,0.0,0.0,0.0
2001-07-27,287.47517437081416,295.41160575083717,283.2865157091723,294.0888671875,139440,0.0,0.0,0.0
2001-07-30,291.972882611195,298.71884606986066,291.17923035327425,294.5301818847656,51105,0.0,0.0,0.0
2001-07-31,291.2230163289086,298.3217176643546,281.74338097669914,282.6252136230469,195105,0.0,0.0,0.0
2001-08-01,282.6255650646693,286.59378663258155,273.5868247043678,274.4686584472656,250905,0.0,0.0,0.0
2001-08-02,275.75669004330854,280.12398124375784,272.88927254931826,277.91827392578125,43905,0.213333,0.0,0.0
2001-08-03,277.91813948349676,279.3297858298592,273.06559380887336,274.16845703125,21885,0.0,0.0,0.0
2001-08-06,273.2864338293722,277.47727368635213,271.3013023487714,273.06585693359375,30405,0.0,0.0,0.0
2001-08-07,275.2715202073904,275.7126537328669,266.6692852009094,266.8898620605469,50910,0.0,0.0,0.0
2001-08-08,268.60987284304474,270.59500089395726,251.80245938407242,253.8317108154297,175155,0.0,0.0,0.0
2001-08-09,250.1265758502021,257.58184499520553,250.1265758502021,254.89089965820312,167595,0.0,0.0,0.0
2001-08-10,258.68448576477425,261.37544918010013,256.1258926203344,258.1992492675781,84585,0.0,0.0,0.0
2001-08-13,256.78767823696063,259.21394221257253,254.096714029201,255.684814453125,26250,0.0,0.0,0.0
2001-08-14,256.1258647237113,259.1256110025665,255.5082580228974,258.94915771484375,57930,0.0,0.0,0.0
