Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-09-28,345.4696980794271,345.4696980794271,341.33233642578125,341.33233642578125,90095000,0.0,0.0
2004-09-29,341.33233642578125,341.33233642578125,335.1262939453125,341.33233642578125,29370000,0.0,0.0
2004-09-30,341.3323505815253,343.4010314941406,341.3323505815253,343.4010314941406,42927500,0.0,0.0
2004-10-01,343.4010293143136,349.60707201276506,341.33234841482977,347.53839111328125,108387500,0.0,0.0
2004-10-04,349.6071249424726,364.08789343121407,349.6071249424726,359.9505310058594,424210000,0.0,0.0
2004-10-05,359.95046788995916,364.08782958984375,359.95046788995916,364.08782958984375,124827500,0.0,0.0
2004-10-06,364.0878338481105,364.0878338481105,353.7444294774255,355.8131103515625,121337500,0.0,0.0
2004-10-07,355.8131267703764,355.8131267703764,351.67576483118603,353.74444580078125,122927500,0.0,0.0
2004-10-08,351.67576483118603,355.8131267703764,349.6070838615908,353.74444580078125,106670000,0.0,0.0
2004-10-11,353.74448736782733,359.9505310058594,353.74448736782733,359.9505310058594,93287500,0.0,0.0
2004-10-12,359.95048870956686,359.95048870956686,349.6070838615908,353.74444580078125,137947500,0.0,0.0
2004-10-13,353.74448736782733,359.9505310058594,351.6758061551499,359.9505310058594,159010000,0.0,0.0
2004-10-14,357.8817912256995,359.9504720998365,353.7444294774255,355.8131103515625,96632500,0.0,0.0
2004-10-15,355.8131103515625,355.8131103515625,351.6757486032885,355.8131103515625,50477500,0.0,0.0
2004-10-18,355.8131267703764,355.8131267703764,353.74444580078125,353.74444580078125,49295000,0.0,0.0
2004-10-19,355.81310619007456,364.08782958984375,355.81310619007456,364.08782958984375,115110000,0.0,0.0
2004-10-20,364.0878172416908,364.0878172416908,353.7444133427791,357.88177490234375,116622500,0.0,0.0
2004-10-21,355.81320513556983,355.81320513556983,347.5384794347426,351.67584228515625,149800000,0.0,0.0
2004-10-22,353.74448736782733,362.0192122185367,351.6758061551499,359.9505310058594,114285000,0.0,0.0
2004-10-25,359.9504720998365,359.9504720998365,353.7444294774255,355.8131103515625,100930000,0.0,0.0
2004-10-26,355.81310011812315,355.81310011812315,343.40101523028164,345.4696960449219,203522500,0.0,0.0
2004-10-27,347.53839111328125,349.60707201276506,345.4697102137974,347.53839111328125,83790000,0.0,0.0
2004-10-28,351.6757486032885,357.8817912256995,349.60706772915154,355.8131103515625,145990000,0.0,0.0
2004-10-29,355.8131685805047,362.0192122185367,355.8131685805047,359.9505310058594,122360000,0.0,0.0
2004-11-01,359.9505310058594,362.0192122185367,357.881849793182,359.9505310058594,31657500,0.0,0.0
2004-11-02,362.0191271839246,382.70593445157743,362.0191271839246,378.5685729980469,305235000,0.0,0.0
2004-11-03,382.70607842339405,395.118167453342,378.56871541341144,390.9808044433594,150347500,0.0,0.0
2004-11-04,393.04941592009175,395.11809705651325,380.6373291015625,380.6373291015625,114440000,0.0,0.0
2004-11-05,382.7059468915386,388.9119892735635,378.56858530352196,384.7746276855469,122157500,0.0,0.0
2004-11-08,384.7747053816512,384.7747053816512,376.49998053473394,382.7060241699219,90492500,0.0,0.0
2004-11-09,384.7745811747995,386.84326171875,384.7745811747995,386.84326171875,118007500,0.0,0.0
2004-11-10,386.8433046039782,395.1180276971114,386.8433046039782,393.0493469238281,166045000,0.0,0.0
2004-11-11,393.04937971399187,393.04937971399187,386.84333687640253,388.9120178222656,54052500,0.0,0.0
2004-11-12,390.9808044433594,393.04948594835065,388.91212293836804,390.9808044433594,85222500,0.0,0.0
2004-11-15,390.9808044433594,390.9808044433594,390.9808044433594,390.9808044433594,0,0.0,0.0
2004-11-16,390.9808044433594,390.9808044433594,390.9808044433594,390.9808044433594,0,0.0,0.0
2004-11-17,390.9808044433594,390.9808044433594,390.9808044433594,390.9808044433594,0,0.0,0.0
2004-11-18,390.9808044433594,390.9808044433594,390.9808044433594,390.9808044433594,0,0.0,0.0
2004-11-19,390.9808044433594,390.9808044433594,390.9808044433594,390.9808044433594,0,0.0,0.0
2004-11-22,395.11802025997275,413.73614686908144,395.11802025997275,409.5987854003906,220507500,0.0,0.0
2004-11-23,409.5987533569336,417.8734756469727,409.5987533569336,413.7361145019531,94610000,0.0,0.0
2004-11-24,417.87356328029256,426.1482873056449,413.7362012676164,422.01092529296875,59635000,0.0,0.0
2004-11-25,417.87350833777225,417.87350833777225,405.4614239316998,409.5987854003906,74615000,0.0,0.0
2004-11-26,411.66743392944335,415.8047950744629,411.66743392944335,413.7361145019531,52520000,0.0,0.0
2004-11-29,417.87350833777225,417.87350833777225,409.5987854003906,409.5987854003906,44055000,0.0,0.0
2004-11-30,409.5987533569336,415.8047950744629,409.5987533569336,413.7361145019531,94097500,0.0,0.0
2004-12-01,413.7362012676164,422.01092529296875,413.7362012676164,422.01092529296875,51862500,0.0,0.0
2004-12-02,426.1482523404635,438.5603373600886,426.1482523404635,430.2856140136719,126572500,0.0,0.0
2004-12-03,434.4229202270508,434.4229202270508,409.5987533569336,413.7361145019531,145035000,0.0,0.0
2004-12-06,413.7361145019531,417.8734756469727,409.5987533569336,413.7361145019531,80417500,0.0,0.0
2004-12-07,413.7362012676164,422.01092529296875,413.7362012676164,422.01092529296875,93810000,0.0,0.0
2004-12-08,422.0109893496674,430.28571463103344,413.7362640683014,417.8736267089844,139875000,0.0,0.0
2004-12-09,417.873541695731,417.873541695731,405.4614562988281,405.4614562988281,123322500,0.0,0.0
2004-12-10,388.9120178222656,393.04937971399187,382.7059749846763,388.9120178222656,397757500,0.0,0.0
2004-12-13,388.9120178222656,393.04937971399187,384.7746559305394,388.9120178222656,148000000,0.0,0.0
2004-12-14,388.9120536472487,388.9120536472487,374.43128569229793,380.6373291015625,138687500,0.0,0.0
2004-12-15,380.63726228412827,395.1180276971114,376.4999007375617,393.0493469238281,331627500,0.0,0.0
2004-12-16,393.0493570963542,405.46144205729166,393.0493570963542,403.39276123046875,287085000,0.0,0.0
2004-12-17,405.4614239316998,411.66746613473606,405.4614239316998,409.5987854003906,115332500,0.0,0.0
2004-12-20,409.59886301108423,411.66754413740284,403.3928196321284,407.5301818847656,57910000,0.0,0.0
2004-12-21,407.53013719831193,407.53013719831193,399.25541360037664,405.4614562988281,89402500,0.0,0.0
2004-12-22,405.46144205729166,407.5301228841146,399.2553995768229,403.39276123046875,66505000,0.0,0.0
2004-12-23,403.3927632860569,403.3927632860569,399.2554016113281,399.2554016113281,77420000,0.0,0.0
2004-12-24,399.2554016113281,399.2554016113281,399.2554016113281,399.2554016113281,0,0.0,0.0
2004-12-27,399.8447512895633,406.059954677484,395.70128236428286,403.98822021484375,51010000,1.4224,0.0
2004-12-28,406.06000385087793,408.1317385644028,401.9165344238281,401.9165344238281,46560000,0.0,0.0
2004-12-29,403.9882932390486,408.13176291329523,401.9165584019253,406.0600280761719,72965000,0.0,0.0
2004-12-30,403.9882877330088,408.1317573507833,399.8448181152344,399.8448181152344,39220000,0.0,0.0
2004-12-31,399.8448181152344,399.8448181152344,399.8448181152344,399.8448181152344,0,0.0,0.0
2005-01-03,403.9882446908709,408.1317138671875,399.8447755145542,408.1317138671875,52375000,0.0,0.0
2005-01-04,408.13178677029083,412.2752566867405,406.060051812066,410.2035217285156,136242500,0.0,0.0
2005-01-05,408.1316891401242,408.1316891401242,403.98822021484375,403.98822021484375,115040000,0.0,0.0
2005-01-06,403.9882387707581,414.3469115597519,403.9882387707581,412.2751770019531,188632500,0.0,0.0
2005-01-07,414.346953601372,424.70562744140625,414.346953601372,424.70562744140625,218142500,0.0,0.0
2005-01-10,422.6339314778646,422.6339314778646,406.060051812066,410.2035217285156,93677500,0.0,0.0
2005-01-11,410.2034732779277,410.2034732779277,399.8447997103033,401.9165344238281,170265000,0.0,0.0
2005-01-12,401.9165529241216,403.9882877330088,399.8448181152344,399.8448181152344,81775000,0.0,0.0
2005-01-13,401.91650421295935,412.2751770019531,401.91650421295935,412.2751770019531,131450000,0.0,0.0
2005-01-14,412.2751588439941,420.5620967102051,412.2751588439941,414.3468933105469,164037500,0.0,0.0
2005-01-17,414.3468933105469,422.6338311767578,414.3468933105469,414.3468933105469,66805000,0.0,0.0
2005-01-18,414.3469916449653,414.3469916449653,406.060051812066,410.2035217285156,59940000,0.0,0.0
2005-01-19,410.2035217285156,414.3469916449653,410.2035217285156,410.2035217285156,104767500,0.0,0.0
2005-01-20,412.2752566867405,416.4187266031901,410.2035217285156,410.2035217285156,84625000,0.0,0.0
2005-01-24,410.2034732779277,410.2034732779277,401.9165344238281,401.9165344238281,105780000,0.0,0.0
2005-01-25,401.9165529241216,401.9165529241216,397.77308330634713,399.8448181152344,189667500,0.0,0.0
2005-01-26,399.8447997103033,403.98826913735303,399.8447997103033,401.9165344238281,84725000,0.0,0.0
2005-01-27,401.9165099461873,401.9165099461873,397.7730407714844,397.7730407714844,134222500,0.0,0.0
2005-01-28,399.8447753588359,399.8447753588359,395.7013061841329,397.7730407714844,100760000,0.0,0.0
2005-01-31,397.7730407714844,399.8447753588359,393.62957159678143,397.7730407714844,137322500,0.0,0.0
2005-02-01,399.8448181152344,403.9882877330088,397.77308330634713,399.8448181152344,69960000,0.0,0.0
2005-02-02,399.84471949527136,401.9164537931743,393.6295166015625,393.6295166015625,103680000,0.0,0.0
2005-02-03,393.62952212069894,395.70125644765,387.4143191398458,389.4860534667969,125185000,0.0,0.0
2005-02-04,389.48610226228277,391.5578368487843,387.41436767578125,387.41436767578125,66002500,0.0,0.0
2005-02-07,389.48605904527886,391.5577934019027,385.34259033203125,385.34259033203125,48097500,0.0,0.0
2005-02-08,385.34263916015624,385.34263916015624,381.199169921875,383.2709045410156,60667500,0.0,0.0
2005-02-11,383.27089850277827,389.48610226228277,381.19916391627675,387.41436767578125,60615000,0.0,0.0
2005-02-14,387.4143246886551,391.5577934019027,385.34259033203125,385.34259033203125,110112500,0.0,0.0
2005-02-15,387.4143137078536,393.6295166015625,385.34257940995064,393.6295166015625,103120000,0.0,0.0
2005-02-16,393.6295166015625,395.70125089946544,391.5577823036595,393.6295166015625,82627500,0.0,0.0
2005-02-17,393.62952212069894,393.62952212069894,389.4860534667969,389.4860534667969,178605000,0.0,0.0
2005-02-18,389.4860534667969,391.55778779374793,387.4143191398458,389.4860534667969,70675000,0.0,0.0
2005-02-21,389.48610839843747,389.48610839843747,381.199169921875,383.2709045410156,203617500,0.0,0.0
2005-02-22,381.1991216187836,387.4143246886551,381.1991216187836,385.34259033203125,181150000,0.0,0.0
2005-02-23,385.34259033203125,385.34259033203125,381.1991216187836,385.34259033203125,61910000,0.0,0.0
2005-02-24,385.3426453637295,385.3426453637295,379.12744140625,379.12744140625,81207500,0.0,0.0
2005-02-25,381.19915737386526,383.27089192481014,366.6970155172508,370.8404846191406,254097500,0.0,0.0
2005-02-28,370.84049065369,370.84049065369,362.55355231506,366.697021484375,92602500,0.0,0.0
2005-03-01,366.69690293532153,381.1990403395433,366.69690293532153,377.0555725097656,221865000,0.0,0.0
2005-03-02,377.0556882719754,377.0556882719754,368.76875006819574,370.8404846191406,172462500,0.0,0.0
2005-03-03,368.768774211736,374.9839782714844,368.768774211736,374.9839782714844,195842500,0.0,0.0
2005-03-04,372.91222523834745,372.91222523834745,366.697021484375,366.697021484375,158212500,0.0,0.0
2005-03-07,368.76875606903246,370.84049065369,364.6252868997175,366.697021484375,100120000,0.0,0.0
2005-03-08,366.6970155172508,370.8404846191406,366.6970155172508,370.8404846191406,160957500,0.0,0.0
2005-03-09,370.8405088983188,374.9839782714844,370.8405088983188,374.9839782714844,49237500,0.0,0.0
2005-03-10,370.84049065369,370.84049065369,362.55355231506,366.697021484375,159062500,0.0,0.0
2005-03-14,364.6253179505814,364.6253179505814,345.97970510083576,356.33837890625,553407500,0.0,0.0
2005-03-15,356.3384144810268,366.69708932059154,354.26667951311384,362.5536193847656,233760000,0.0,0.0
2005-03-16,362.5536193847656,368.7688242885045,358.41014944893976,362.5536193847656,163600000,0.0,0.0
2005-03-17,360.4818357987837,368.7687745527787,360.4818357987837,364.62530517578125,74130000,0.0,0.0
2005-03-18,364.6252868997175,368.76875606903246,360.48181773040255,366.697021484375,129662500,0.0,0.0
2005-03-21,366.69703952515323,379.1274476446499,366.69703952515323,374.9839782714844,141227500,0.0,0.0
2005-03-22,374.98397210126365,383.2709107112363,370.8405027962773,379.12744140625,135330000,0.0,0.0
2005-03-23,374.9839660644531,387.41437377929685,372.9122314453125,383.2709045410156,173987500,0.0,0.0
2005-03-24,383.2707742544321,383.2707742544321,374.98383859487683,377.0555725097656,200785000,0.0,0.0
2005-03-28,374.98397210126365,385.3426453637295,372.9122374487705,379.12744140625,70840000,0.0,0.0
2005-03-29,377.0557006835937,379.12743530273434,368.7687622070312,372.9122314453125,179952500,0.0,0.0
2005-03-30,370.8405029639769,372.9122376174069,364.6252990036868,368.7687683105469,183315000,0.0,0.0
2005-03-31,370.8404846191406,372.91221917008556,366.6970155172508,370.8404846191406,70960000,0.0,0.0
2005-04-01,372.9122314453125,383.2709045410156,370.8404968261719,383.2709045410156,95225000,0.0,0.0
2005-04-04,385.34258481289476,391.55778779374793,383.2708504859437,389.4860534667969,105080000,0.0,0.0
2005-04-05,389.48605904527886,391.5577934019027,385.34259033203125,385.34259033203125,53150000,0.0,0.0
2005-04-06,385.34263916015624,387.41437377929685,383.2709045410156,383.2709045410156,25960000,0.0,0.0
2005-04-07,385.3426330892798,391.5578368487843,385.3426330892798,387.41436767578125,43960000,0.0,0.0
2005-04-08,389.48610226228277,389.48610226228277,381.19916391627675,387.41436767578125,112385000,0.0,0.0
2005-04-11,385.34258481289476,391.55778779374793,383.2708504859437,389.4860534667969,52887500,0.0,0.0
2005-04-12,387.41436767578125,387.41436767578125,385.3426330892798,387.41436767578125,35095000,0.0,0.0
2005-04-13,389.48609625599374,391.5578308105469,387.41436170144055,391.5578308105469,34022500,0.0,0.0
2005-04-14,389.48610226228277,391.5578368487843,387.41436767578125,387.41436767578125,30732500,0.0,0.0
2005-04-15,387.41437377929685,387.41437377929685,381.199169921875,383.2709045410156,95025000,0.0,0.0
2005-04-18,377.0557006835937,377.0557006835937,370.8404968261719,372.9122314453125,109005000,0.0,0.0
2005-04-19,372.9122376174069,372.9122376174069,366.69703365711683,368.7687683105469,37305000,0.0,0.0
2005-04-20,370.84049065369,370.84049065369,366.697021484375,366.697021484375,24027500,0.0,0.0
2005-04-21,364.6253543526786,364.6253543526786,354.26667951311384,362.5536193847656,106350000,0.0,0.0
2005-04-25,362.55351537945626,364.62524975305314,356.3383122586656,360.4817810058594,60065000,0.0,0.0
2005-04-26,360.4818844168527,366.69708932059154,360.4818844168527,362.5536193847656,100492500,0.0,0.0
2005-04-27,362.55359539406834,362.55359539406834,356.33839090159864,358.4101257324219,76465000,0.0,0.0
2005-04-28,356.3383122586656,362.55351537945626,356.3383122586656,360.4817810058594,82092500,0.0,0.0
2005-04-29,358.4101014611317,358.4101014611317,352.1948973895514,354.2666320800781,68437500,0.0,0.0
2005-05-02,354.26660752155374,354.26660752155374,348.0514038808247,350.1231384277344,38900000,0.0,0.0
2005-05-03,339.764501514549,350.1231753412121,339.764501514549,345.9797058105469,136657500,0.0,0.0
2005-05-04,348.0514398619186,360.4818484284157,348.0514398619186,356.33837890625,98250000,0.0,0.0
2005-05-06,356.3383544921875,374.9839660644531,356.3383544921875,372.9122314453125,231235000,0.0,0.0
2005-05-09,370.84044983566446,385.34259033203125,368.7687154790406,385.34259033203125,192532500,0.0,0.0
2005-05-10,383.2708922676418,385.3426268204399,381.19915771484375,381.19915771484375,54382500,0.0,0.0
