Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-11-10,38.995777051405106,40.85272029998104,35.28189367112219,36.210365295410156,5658651738,0.0,0.0
2003-11-11,36.21036734695971,37.13883590698242,35.28189567006786,37.13883590698242,3232466332,0.0,0.0
2003-11-12,36.21036536850902,38.99577713012695,36.21036536850902,38.99577713012695,2203244555,0.0,0.0
2003-11-13,38.99577713012695,38.99577713012695,38.067305503964654,38.99577713012695,1309077610,0.0,0.0
2003-11-14,38.99577713012695,38.99577713012695,37.138833877802355,38.99577713012695,1897824280,0.0,0.0
2003-11-17,38.06730758387426,38.06730758387426,37.13883590698242,37.13883590698242,465863546,0.0,0.0
2003-11-18,37.13883380282917,37.13883380282917,36.210365295410156,36.210365295410156,437868063,0.0,0.0
2003-11-19,36.21036734695971,37.13883590698242,36.21036734695971,37.13883590698242,305194771,0.0,0.0
2003-11-20,37.13883486764627,38.06730651855469,37.13883486764627,38.06730651855469,930962579,0.0,0.0
2003-11-21,38.067305503964654,38.99577713012695,38.067305503964654,38.99577713012695,678662222,0.0,0.0
2003-11-24,38.99577713012695,38.99577713012695,38.99577713012695,38.99577713012695,0,0.0,0.0
2003-11-25,38.99577713012695,38.99577713012695,38.99577713012695,38.99577713012695,0,0.0,0.0
2003-11-26,38.99577713012695,38.99577713012695,38.99577713012695,38.99577713012695,0,0.0,0.0
2003-11-27,38.99577713012695,38.99577713012695,38.99577713012695,38.99577713012695,0,0.0,0.0
2003-11-28,38.99577713012695,38.99577713012695,38.99577713012695,38.99577713012695,0,0.0,0.0
2003-12-01,38.995776139132055,39.92424774169922,38.995776139132055,39.92424774169922,829645329,0.0,0.0
2003-12-02,39.92424875628925,39.92424875628925,38.067305503964654,38.99577713012695,523889548,0.0,0.0
2003-12-03,38.9957781694631,38.9957781694631,38.06730651855469,38.06730651855469,507625767,0.0,0.0
2003-12-04,38.067305503964654,38.99577713012695,38.067305503964654,38.99577713012695,787635604,0.0,0.0
2003-12-05,38.9957781694631,38.9957781694631,38.06730651855469,38.06730651855469,490173966,0.0,0.0
2003-12-08,38.06730651855469,38.06730651855469,37.13883486764627,38.06730651855469,460165448,0.0,0.0
2003-12-09,38.06730651855469,38.06730651855469,37.13883486764627,38.06730651855469,207386582,0.0,0.0
2003-12-10,37.138833877802355,38.99577713012695,36.21036536850902,38.99577713012695,1136534130,0.0,0.0
2003-12-11,38.067305503964654,38.99577713012695,38.067305503964654,38.99577713012695,244149217,0.0,0.0
2003-12-12,38.995776139132055,39.92424774169922,38.995776139132055,39.92424774169922,960036082,0.0,0.0
2003-12-15,38.99577883448422,40.85272216796875,38.99577883448422,40.85272216796875,1286092713,0.0,0.0
2003-12-16,40.85272216796875,41.78119071784192,39.92425050122649,40.85272216796875,370381897,0.0,0.0
