Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined,Net_Commercial,Net_Managed_Money,Net_Large_Spec,Net_Small_Spec
GOLD - COMMODITY EXCHANGE INC.,100309,2010-03-09,088691,CMX,1,88,493909,39179,198734,48572,140804,25201,179078,4670,49950,61790,28004,22573,426343,469936,67566,23973,493909,39179,198734,48572,140804,25201,179078,4670,49950,61790,28004,22573,426343,469936,67566,23973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   11123,    5842,    4528,    2289,    3853,    3121,   -3282,   -1019,   -1969,    4385,    1300,    1640,   12026,   11454,    -903,    -331,100.0,7.9,40.2,9.8,28.5,5.1,36.3,0.9,10.1,12.5,5.7,4.6,86.3,95.1,13.7,4.9,100.0,7.9,40.2,9.8,28.5,5.1,36.3,0.9,10.1,12.5,5.7,4.6,86.3,95.1,13.7,4.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,     19,     32,     15,     19,     19,     87,     10,     18,     95,     51,     51,266,155,    321,     19,     32,     15,     19,     19,     87,     10,     18,     95,     51,     51,    266,    155,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-251787,174408,33786,43593
GOLD - COMMODITY EXCHANGE INC. ,100309,2010-03-09,088691 ,CMX ,1,88,493909,39179,198734,48572,140804,25201,179078,4670,49950,61790,28004,22573,426343,469936,67566,23973,493909,39179,198734,48572,140804,25201,179078,4670,49950,61790,28004,22573,426343,469936,67566,23973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   11123,    5842,    4528,    2289,    3853,    3121,   -3282,   -1019,   -1969,    4385,    1300,    1640,   12026,   11454,    -903,    -331,100.0,7.9,40.2,9.8,28.5,5.1,36.3,0.9,10.1,12.5,5.7,4.6,86.3,95.1,13.7,4.9,100.0,7.9,40.2,9.8,28.5,5.1,36.3,0.9,10.1,12.5,5.7,4.6,86.3,95.1,13.7,4.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,     19,     32,     15,     19,     19,     87,     10,     18,     95,     51,     51,266,155,    321,     19,     32,     15,     19,     19,     87,     10,     18,     95,     51,     51,    266,    155,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-251787,174408,33786,43593
GOLD - COMMODITY EXCHANGE INC.,100316,2010-03-16,088691,CMX,1,88,496481,48383,194109,48552,145121,12890,176715,6438,59713,62350,32281,20983,429586,471535,66895,24946,496481,48383,194109,48552,145121,12890,176715,6438,59713,62350,32281,20983,429586,471535,66895,24946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    2572,    9204,   -4625,     -20,    4317,  -12311,   -2363,    1768,    9763,     560,    4277,   -1590,    3243,    1599,    -671,     973,100.0,9.7,39.1,9.8,29.2,2.6,35.6,1.3,12.0,12.6,6.5,4.2,86.5,95.0,13.5,5.0,100.0,9.7,39.1,9.8,29.2,2.6,35.6,1.3,12.0,12.6,6.5,4.2,86.5,95.0,13.5,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,     21,     31,     16,     17,     17,     89,     14,     20,     83,     57,     56,266,162,    321,     21,     31,     16,     17,     17,     89,     14,     20,     83,     57,     56,    266,    162,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,31.4,46.4,39.8,61.8,20.2,36.2,26.7,45.7,31.4,46.4,39.8,61.8,20.2,36.2,26.7,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-242295,170277,30069,41949
GOLD - COMMODITY EXCHANGE INC. ,100316,2010-03-16,088691 ,CMX ,1,88,496481,48383,194109,48552,145121,12890,176715,6438,59713,62350,32281,20983,429586,471535,66895,24946,496481,48383,194109,48552,145121,12890,176715,6438,59713,62350,32281,20983,429586,471535,66895,24946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    2572,    9204,   -4625,     -20,    4317,  -12311,   -2363,    1768,    9763,     560,    4277,   -1590,    3243,    1599,    -671,     973,100.0,9.7,39.1,9.8,29.2,2.6,35.6,1.3,12.0,12.6,6.5,4.2,86.5,95.0,13.5,5.0,100.0,9.7,39.1,9.8,29.2,2.6,35.6,1.3,12.0,12.6,6.5,4.2,86.5,95.0,13.5,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,     21,     31,     16,     17,     17,     89,     14,     20,     83,     57,     56,266,162,    321,     21,     31,     16,     17,     17,     89,     14,     20,     83,     57,     56,    266,    162,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,31.4,46.4,39.8,61.8,20.2,36.2,26.7,45.7,31.4,46.4,39.8,61.8,20.2,36.2,26.7,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-242295,170277,30069,41949
GOLD - COMMODITY EXCHANGE INC.,100323,2010-03-23,088691,CMX,1,88,495143,57625,191137,49818,140129,17061,162654,8962,59574,58818,28638,24177,429727,469678,65416,25465,495143,57625,191137,49818,140129,17061,162654,8962,59574,58818,28638,24177,429727,469678,65416,25465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -1338,    9242,   -2972,    1266,   -4992,    4171,  -14061,    2524,    -139,   -3532,   -3643,    3194,     141,   -1857,   -1479,     519,100.0,11.6,38.6,10.1,28.3,3.4,32.8,1.8,12.0,11.9,5.8,4.9,86.8,94.9,13.2,5.1,100.0,11.6,38.6,10.1,28.3,3.4,32.8,1.8,12.0,11.9,5.8,4.9,86.8,94.9,13.2,5.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315,     22,     28,     16,     15,     18,     77,     21,     21,     90,     51,     52,263,156,    315,     22,     28,     16,     15,     18,     77,     21,     21,     90,     51,     52,    263,    156,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,31.6,45.4,41.1,60.9,20.2,35.2,26.6,44.3,31.6,45.4,41.1,60.9,20.2,35.2,26.6,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-223823,153692,30180,39951
GOLD - COMMODITY EXCHANGE INC. ,100323,2010-03-23,088691 ,CMX ,1,88,495143,57625,191137,49818,140129,17061,162654,8962,59574,58818,28638,24177,429727,469678,65416,25465,495143,57625,191137,49818,140129,17061,162654,8962,59574,58818,28638,24177,429727,469678,65416,25465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -1338,    9242,   -2972,    1266,   -4992,    4171,  -14061,    2524,    -139,   -3532,   -3643,    3194,     141,   -1857,   -1479,     519,100.0,11.6,38.6,10.1,28.3,3.4,32.8,1.8,12.0,11.9,5.8,4.9,86.8,94.9,13.2,5.1,100.0,11.6,38.6,10.1,28.3,3.4,32.8,1.8,12.0,11.9,5.8,4.9,86.8,94.9,13.2,5.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315,     22,     28,     16,     15,     18,     77,     21,     21,     90,     51,     52,263,156,    315,     22,     28,     16,     15,     18,     77,     21,     21,     90,     51,     52,    263,    156,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,31.6,45.4,41.1,60.9,20.2,35.2,26.6,44.3,31.6,45.4,41.1,60.9,20.2,35.2,26.6,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-223823,153692,30180,39951
GOLD - COMMODITY EXCHANGE INC.,100330,2010-03-30,088691,CMX,1,88,466678,62006,189646,58930,138981,14536,155355,8135,47247,54519,27973,20395,412988,446913,53690,19765,466678,62006,189646,58930,138981,14536,155355,8135,47247,54519,27973,20395,412988,446913,53690,19765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -28465,    4381,   -1491,    9112,   -1148,   -2525,   -7299,    -827,  -12327,   -4299,    -665,   -3782,  -16739,  -22765,  -11726,   -5700,100.0,13.3,40.6,12.6,29.8,3.1,33.3,1.7,10.1,11.7,6.0,4.4,88.5,95.8,11.5,4.2,100.0,13.3,40.6,12.6,29.8,3.1,33.3,1.7,10.1,11.7,6.0,4.4,88.5,95.8,11.5,4.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,     19,     27,     18,     16,     19,     74,     15,     16,     85,     48,     49,247,145,    298,     19,     27,     18,     16,     19,     74,     15,     16,     85,     48,     49,    247,    145,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,30.7,43.8,42.4,59.7,23.1,35.6,30.0,44.8,30.7,43.8,42.4,59.7,23.1,35.6,30.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-207691,147220,26546,33925
GOLD - COMMODITY EXCHANGE INC. ,100330,2010-03-30,088691 ,CMX ,1,88,466678,62006,189646,58930,138981,14536,155355,8135,47247,54519,27973,20395,412988,446913,53690,19765,466678,62006,189646,58930,138981,14536,155355,8135,47247,54519,27973,20395,412988,446913,53690,19765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -28465,    4381,   -1491,    9112,   -1148,   -2525,   -7299,    -827,  -12327,   -4299,    -665,   -3782,  -16739,  -22765,  -11726,   -5700,100.0,13.3,40.6,12.6,29.8,3.1,33.3,1.7,10.1,11.7,6.0,4.4,88.5,95.8,11.5,4.2,100.0,13.3,40.6,12.6,29.8,3.1,33.3,1.7,10.1,11.7,6.0,4.4,88.5,95.8,11.5,4.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,     19,     27,     18,     16,     19,     74,     15,     16,     85,     48,     49,247,145,    298,     19,     27,     18,     16,     19,     74,     15,     16,     85,     48,     49,    247,    145,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,30.7,43.8,42.4,59.7,23.1,35.6,30.0,44.8,30.7,43.8,42.4,59.7,23.1,35.6,30.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-207691,147220,26546,33925
GOLD - COMMODITY EXCHANGE INC. ,100406,2010-04-06,088691 ,CMX ,1,88,497388,51492,205216,61357,152539,13821,181635,6500,51090,60667,32356,18794,438856,480316,58532,17072,497388,51492,205216,61357,152539,13821,181635,6500,51090,60667,32356,18794,438856,480316,58532,17072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   30710,  -10514,   15570,    2427,   13558,    -715,   26280,   -1635,    3843,    6148,    4383,   -1601,   25868,   33403,    4842,   -2693,100.0,10.4,41.3,12.3,30.7,2.8,36.5,1.3,10.3,12.2,6.5,3.8,88.2,96.6,11.8,3.4,100.0,10.4,41.3,12.3,30.7,2.8,36.5,1.3,10.3,12.2,6.5,3.8,88.2,96.6,11.8,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,     17,     31,     19,     15,     19,    100,     13,     18,     84,     48,     46,266,149,    323,     17,     31,     19,     15,     19,    100,     13,     18,     84,     48,     46,    266,    149,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,29.3,43.1,39.2,58.3,22.2,35.5,28.5,45.1,29.3,43.1,39.2,58.3,22.2,35.5,28.5,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-244906,175135,28311,41460
GOLD - COMMODITY EXCHANGE INC.,100406,2010-04-06,088691,CMX,1,88,497388,51492,205216,61357,152539,13821,181635,6500,51090,60667,32356,18794,438856,480316,58532,17072,497388,51492,205216,61357,152539,13821,181635,6500,51090,60667,32356,18794,438856,480316,58532,17072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   30710,  -10514,   15570,    2427,   13558,    -715,   26280,   -1635,    3843,    6148,    4383,   -1601,   25868,   33403,    4842,   -2693,100.0,10.4,41.3,12.3,30.7,2.8,36.5,1.3,10.3,12.2,6.5,3.8,88.2,96.6,11.8,3.4,100.0,10.4,41.3,12.3,30.7,2.8,36.5,1.3,10.3,12.2,6.5,3.8,88.2,96.6,11.8,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,     17,     31,     19,     15,     19,    100,     13,     18,     84,     48,     46,266,149,    323,     17,     31,     19,     15,     19,    100,     13,     18,     84,     48,     46,    266,    149,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,29.3,43.1,39.2,58.3,22.2,35.5,28.5,45.1,29.3,43.1,39.2,58.3,22.2,35.5,28.5,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-244906,175135,28311,41460
GOLD - COMMODITY EXCHANGE INC.,100413,2010-04-13,088691,CMX,1,88,528856,51345,223301,67053,158581,17071,200201,3506,50177,62398,38351,19292,467537,510279,61319,18577,528856,51345,223301,67053,158581,17071,200201,3506,50177,62398,38351,19292,467537,510279,61319,18577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   31468,    -147,   18085,    5696,    6042,    3250,   18566,   -2994,    -913,    1731,    5995,     498,   28681,   29963,    2787,    1505,100.0,9.7,42.2,12.7,30.0,3.2,37.9,0.7,9.5,11.8,7.3,3.6,88.4,96.5,11.6,3.5,100.0,9.7,42.2,12.7,30.0,3.2,37.9,0.7,9.5,11.8,7.3,3.6,88.4,96.5,11.6,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,     16,     32,     20,     17,     17,    114,     10,     19,     95,     48,     48,291,151,    348,     16,     32,     20,     17,     17,    114,     10,     19,     95,     48,     48,    291,    151,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,27.9,41.0,38.6,58.4,21.5,35.5,27.9,45.5,27.9,41.0,38.6,58.4,21.5,35.5,27.9,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-263484,196695,24047,42742
GOLD - COMMODITY EXCHANGE INC. ,100413,2010-04-13,088691 ,CMX ,1,88,528856,51345,223301,67053,158581,17071,200201,3506,50177,62398,38351,19292,467537,510279,61319,18577,528856,51345,223301,67053,158581,17071,200201,3506,50177,62398,38351,19292,467537,510279,61319,18577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   31468,    -147,   18085,    5696,    6042,    3250,   18566,   -2994,    -913,    1731,    5995,     498,   28681,   29963,    2787,    1505,100.0,9.7,42.2,12.7,30.0,3.2,37.9,0.7,9.5,11.8,7.3,3.6,88.4,96.5,11.6,3.5,100.0,9.7,42.2,12.7,30.0,3.2,37.9,0.7,9.5,11.8,7.3,3.6,88.4,96.5,11.6,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,     16,     32,     20,     17,     17,    114,     10,     19,     95,     48,     48,291,151,    348,     16,     32,     20,     17,     17,    114,     10,     19,     95,     48,     48,    291,    151,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,27.9,41.0,38.6,58.4,21.5,35.5,27.9,45.5,27.9,41.0,38.6,58.4,21.5,35.5,27.9,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-263484,196695,24047,42742
GOLD - COMMODITY EXCHANGE INC.,100420,2010-04-20,088691,CMX,1,88,521338,52092,227044,70571,153015,17298,199008,6768,45512,52236,33825,19247,455964,502709,65374,18629,521338,52092,227044,70571,153015,17298,199008,6768,45512,52236,33825,19247,455964,502709,65374,18629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -7518,     747,    3743,    3518,   -5566,     227,   -1193,    3262,   -4665,  -10162,   -4526,     -45,  -11573,   -7570,    4055,      52,100.0,10.0,43.6,13.5,29.4,3.3,38.2,1.3,8.7,10.0,6.5,3.7,87.5,96.4,12.5,3.6,100.0,10.0,43.6,13.5,29.4,3.3,38.2,1.3,8.7,10.0,6.5,3.7,87.5,96.4,12.5,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,     17,     32,     20,     17,     18,    107,     13,     17,     85,     44,     46,274,149,    331,     17,     32,     20,     17,     18,    107,     13,     17,     85,     44,     46,    274,    149,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,27.8,40.9,38.6,59.3,22.4,37.0,28.4,46.4,27.8,40.9,38.6,59.3,22.4,37.0,28.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-257396,192240,18411,46745
GOLD - COMMODITY EXCHANGE INC. ,100420,2010-04-20,088691 ,CMX ,1,88,521338,52092,227044,70571,153015,17298,199008,6768,45512,52236,33825,19247,455964,502709,65374,18629,521338,52092,227044,70571,153015,17298,199008,6768,45512,52236,33825,19247,455964,502709,65374,18629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -7518,     747,    3743,    3518,   -5566,     227,   -1193,    3262,   -4665,  -10162,   -4526,     -45,  -11573,   -7570,    4055,      52,100.0,10.0,43.6,13.5,29.4,3.3,38.2,1.3,8.7,10.0,6.5,3.7,87.5,96.4,12.5,3.6,100.0,10.0,43.6,13.5,29.4,3.3,38.2,1.3,8.7,10.0,6.5,3.7,87.5,96.4,12.5,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,     17,     32,     20,     17,     18,    107,     13,     17,     85,     44,     46,274,149,    331,     17,     32,     20,     17,     18,    107,     13,     17,     85,     44,     46,    274,    149,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,27.8,40.9,38.6,59.3,22.4,37.0,28.4,46.4,27.8,40.9,38.6,59.3,22.4,37.0,28.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES) ,088691 ,CMX ,88,N20 ,FutOnly,-257396,192240,18411,46745
