Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2003-12-05,50.00467578518531,50.34953411471703,50.00467578518531,50.17710494995117,48500,0.0,0.0,0.0
2003-12-08,50.20175366807024,50.206681290952254,50.07858940674459,50.132781982421875,43900,0.0,0.0,0.0
2003-12-09,50.17706770866449,50.27067365378068,50.004638671875,50.004638671875,80000,0.0,0.0,0.0
2003-12-10,50.177101134533245,50.196807860247134,50.073643643540535,50.13768768310547,98000,0.0,0.0,0.0
2003-12-11,49.9898928262005,50.38894368513874,49.9898928262005,50.33475112915039,75500,0.0,0.0,0.0
2003-12-12,50.30027674330664,50.41851336569473,50.29534912109375,50.29534912109375,82000,0.0,0.0,0.0
2003-12-15,50.2510138137198,50.31998549277016,50.098291347061824,50.18696975708008,146300,0.0,0.0,0.0
2003-12-16,50.088440893833656,50.16234020236404,49.99483861112514,50.132781982421875,135400,0.0,0.0,0.0
2003-12-17,50.27566925921136,50.300299864248544,50.103236230570175,50.118019104003906,138400,0.0,0.0,0.0
2003-12-18,50.12783614738046,50.33967875024213,50.12783614738046,50.33475112915039,107400,0.0,0.0,0.0
2003-12-19,50.177081149499884,50.349510232477606,50.172153530365634,50.31010055541992,87800,0.0,0.0,0.0
2003-12-22,50.2904176871981,50.31504827720591,50.152474355397906,50.25593185424805,287300,0.0,0.0,0.0
2003-12-23,50.15736099607839,50.19677442125059,50.004638671875,50.004638671875,111400,0.0,0.0,0.0
2003-12-24,50.20174878528034,50.29535105888478,50.14262859247126,50.285499572753906,34600,0.0,0.0,0.0
2003-12-26,50.34459112225952,50.374149322509766,50.31502916333682,50.374149322509766,32800,0.0,0.0,0.0
2003-12-29,50.265731773363875,50.30021757093663,50.1721258548078,50.226318359375,127300,0.0,0.0,0.0
2003-12-30,50.09336471557617,50.21160134504788,50.05395125286071,50.09336471557617,103300,0.0,0.0,0.0
2003-12-31,50.17078107542101,50.21023992622037,50.15105165002134,50.16584777832031,74800,0.117,0.0,0.0
2004-01-02,50.062291087154534,50.13134222209645,49.91432221913351,50.05735778808594,106900,0.0,0.0,0.0
2004-01-05,49.88965693263256,49.98830032348633,49.85513136953333,49.98830032348633,115700,0.0,0.0,0.0
2004-01-06,50.1066370812021,50.33352349027329,50.086911427632074,50.308860778808594,114000,0.0,0.0,0.0
2004-01-07,50.25958520920469,50.42235022293115,50.22012633987617,50.348365783691406,101700,0.0,0.0,0.0
2004-01-08,50.239864593254126,50.34837462145211,50.00311509873075,50.1560173034668,132100,0.0,0.0,0.0
2004-01-09,50.55548839480918,50.57028452103944,50.42231949573424,50.53575897216797,112800,0.0,0.0,0.0
